Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1991/02/07,Martin,,SK,SK,Panik,Richard,RW,"CHI, ARI"
1990/04/14,Holland,MI,US,US,Witkowski,Luke,RW,DET
1997/12/11,Scottsdale,AZ,US,US,Tkachuk,Matthew,LW,CGY
1991/08/10,Buffalo,NY,US,CA,Foligno,Marcus,LW,MIN
1997/09/17,San Ramon,CA,US,US,Matthews,Auston,C,TOR
1991/01/16,Haliburton,ON,CA,CA,Duchene,Matt,C,"COL, OTT"
1991/05/14,Burlington,ON,CA,CA,Szwarz,Jordan,RW,BOS
1989/09/05,Madison,WI,US,US,Smith,Craig,RW,NSH
1990/01/07,St. Louis,MO,US,US,Wideman,Chris,D,OTT
1997/12/21,Long Beach,NY,US,US,McAvoy,Charlie,D,BOS
1991/02/27,Toronto,ON,CA,CA,Cizikas,Casey,C,NYI
1990/10/22,St. Hyacinthe,QC,CA,CA,Savard,David,D,CBJ
1991/02/22,LaSalle,QC,CA,CA,Deslauriers,Nicolas,LW,MTL
1991/05/24,Winnipeg,MB,CA,CA,Eakin,Cody,C,VGK
1997/12/18,Farmington Hills,MI,US,US,DeBrincat,Alex,RW,CHI
1988/12/01,Villach,,AT,AT,Raffl,Michael,LW,PHI
1998/04/19,Tampere,,FI,FI,Laine,Patrik,RW,WPG
1990/02/23,Edmonton,AB,CA,CA,Connauton,Kevin,D,ARI
1998/07/29,Chesterfield,MO,US,US,Keller,Clayton,LW/C,ARI
1998/05/07,Alvkarleby,,SE,FI,Puljujarvi,Jesse,RW,EDM
1977/03/18,Trencin,,SK,SK,Chara,Zdeno,D,BOS
1990/10/06,Ville Degelis,QC,CA,CA,Dumont,Gabriel,C,"TBL, OTT"
1992/03/20,South St.Paul,MN,US,US,Faulk,Justin,D,CAR
1990/07/22,CAton,NY,US,US,Megan,Wade,C,STL
1990/09/23,Rimouski,QC,CA,CA,Bourque,Gabriel,LW,COL
1998/03/05,Raleigh,NC,US,US,Brown,Logan,C,OTT
1995/03/14,Molnlycke,,SE,SE,Blidh,Anton,LW,BOS
1998/03/14,St. Albert,AB,CA,CA,Jost,Tyson,C,COL
1998/05/25,Oulunsalo,,FI,FI,Kuokkanen,Janne,C,CAR
1991/03/12,Winkler,MB,CA,CA,Froese,Byron,C,MTL
1991/05/09,Hamilton,ON,CA,CA,Chiarot,Ben,D,WPG
1998/06/07,Woodbridge,ON,CA,CA,Mete,Victor,D,MTL
1993/04/16,Oulu,,FI,FI,Granlund,Markus,C,VAN
1991/03/23,Pori,,FI,FI,Haula,Erik,LW,VGK
1993/05/17,Montreal,QC,CA,CA,Gilmour,John,D,NYR
1986/07/31,Magnitogorsk,,RU,RU,Malkin,Evgeni,C,PIT
1992/12/12,Detroit,MI,US,US,Czarnik,Austin,C,BOS
1994/01/07,Ottawa,ON,CA,CA,Weegar,MacKenzie,D,FLA
1998/05/12,Roberval,QC,CA,CA,Girard,Samuel,D,"NSH, COL"
1998/06/24,Ste-Agathe-Des-Monts,QC,CA,CA,Dubois,Pierre-Luc,LW/C,CBJ
1995/03/10,St. Clair,MI,US,US,Motte,Tyler,LW/C,"CBJ, VAN"
1995/01/06,Sun Prairie,WI,US,US,Butcher,Will,D,NJD
1997/08/06,Helsinki,,FI,FI,Borgstrom,Henrik,C,FLA
1991/06/08,Keswick,ON,CA,CA,Hanley,Joel,D,ARI
1985/09/17,Moscow,,RU,RU,Ovechkin,Alex,LW,WSH
1998/07/30,Stockholm,,SE,SE,Bratt,Jesper,LW,NJD
1985/12/12,Maple Ridge,BC,CA,CA,Ladd,Andrew,LW,NYI
1986/08/31,Plymouth,MN,US,US,Wheeler,Blake,RW,WPG
1981/07/18,Schwenningen,,DE,DE,Seidenberg,Dennis,D,NYI
1994/07/27,Viking,AB,CA,CA,Soucy,Carson,D,MIN
1985/10/30,Milwaukee,WI,US,US,Stafford,Drew,RW,NJD
1990/02/09,Newmarket,ON,CA,CA,Archibald,Darren,RW,VAN
1990/09/21,St. Paul,MN,US,US,Jensen,Nick,D,DET
1989/06/23,Garden River First Nations,ON,CA,CA,Nolan,Jordan,LW/C,BUF
1991/12/13,Yaroslavl,,RU,RU,Tarasenko,Vladimir,RW,STL
1991/06/06,Ottawa,ON,CA,CA,Sexton,Ben,C,OTT
1985/05/13,Winnipeg,MB,CA,CA,Zajac,Travis,C,NJD
1993/06/19,Ham Lake,MN,US,US,Brodzinski,Jonny,C,LAK
1985/10/12,Calgary,AB,CA,CA,Green,Mike,D,DET
1996/10/17,Edmonton,AB,CA,CA,DeBrusk,Jake,LW,BOS
1990/05/27,Huntsville,AL,US,US,Dowd,Nic,C,"LAK, VAN"
1995/07/28,Milwaukee,WI,US,US,Fasching,Hudson,RW,BUF
1994/04/07,Richmond,BC,CA,CA,Stecher,Troy,D,VAN
